state_abbreviation,state,status,date_details,restriction_start,restriction_end,status_details,external_link,opened_outdoor_and_recreation,opened_entertainment,opened_food_and_drink,closed_entertainment,closed_food_and_drink,opened_houses_of_worship,opened_retail,opened_personal_care,opened_industries,closed_outdoor_and_recreation,population
GA,Georgia,reopening,Reopened April 24.,,,"Gov. Brian Kemp, a Republican, went toe-to-toe with the White House and local mayors over his decision to reopen large parts of Georgia’s economy ahead of other states. Mr. Kemp has continued steadily with reopening plans while case counts have trended upward, and he has pushed back on local governments that have tried to enforce stricter shutdowns or mask requirements, going as far as suing Atlanta’s mayor and city council over a mask order.",https://www.ledger-enquirer.com/news/coronavirus/article244285992.html,Gyms,"Bowling alleys; Theaters, private social clubs; Large venues; Bars, nightclubs",Restaurant dining,,,True,Retail,"Hair salons, barbershops, etc.",,,10617423
HI,Hawaii,reopening,Reopened May 7.,,,"Gov. David Ige, a Democrat, started the state’s reopening process in early May, when there were only a few new cases reported each day. Each island can now set its own timeline for reopening, with the governor’s approval. Despite the slow approach, Hawaii has seen a resurgence of the virus in recent days.",https://www.bigislandvideonews.com/2020/06/04/hawaii-economic-reopening-strategy-posted-online/,"Beaches, piers, docks, etc.; State parks; Pools and waterparks in some areas; Campgrounds in some areas; Gyms","Arcades, bowling alleys, theaters in some areas",Restaurant dining; Bars,,,True,Retail stores,Pet groomers; Nail salons in some areas; Tattoo parlors in some areas; Salons and barbershops,Construction in some areas; Offices in some areas,,1415872
IA,Iowa,reopened,Reopened May 1.,,,"Gov. Kim Reynolds, a Republican, ordered a number of businesses to close in March, but did not issue a stay-at-home order. Ms. Reynolds began loosening restrictions on May 1, and capacity limits on businesses were lifted in June.",https://ktiv.com/2020/06/10/watch-live-gov-reynolds-hold-news-conference-on-covid-19/,"Campgrounds; Gyms; Pools; Playgrounds, skating rinks, skate parks","Libraries; Movie theaters; Museums, zoos, aquariums; Casinos; Outdoor venues; Bowling alleys, amusement parks; Indoor venues",Restaurant dining; Bars,,,True,"Retail stores, malls","Medical spas, tanning salons; Salons, barbershops, tattoo parlors, etc.",,,3155070
ID,Idaho,pausing,Reopened May 1.,,,"Gov. Brad Little, a Republican, began his state’s four-stage reopening process on May 1. Idaho moved through the first three stages of reopening swiftly, but as cases surged, Mr. Little delayed a full reopening planned for June 26. After a two-week delay, on July 9, he announced the state would remain in its final stage of reopening for at least another two weeks.",https://www.idahopress.com/news/local/little-idaho-to-stay-in-stage-4-of-reopening/article_dfbadea9-e7ac-52ab-9015-ea534bb2284a.html,Gyms; Pools and water parks,Movie theaters; Nightclubs; Large venues,Restaurant dining; Bars,,,True,Retail,Hair salons,,,1787065
IL,Illinois,reopening,Reopened May 29.,,,"Gov. J.B. Pritzker, a Democrat, faced political pushback for his cautious reopening strategy, but Illinois has not seen a strong upward trend in cases. On June 26, the state moved into its fourth and final stage of reopening. ",https://www.wbez.org/stories/use-this-tool-to-track-illinois-reopening-plan-by-phase-region-and-address/51871836-6a73-47dc-a8f1-18c6fe2f2a6e,"State parks; limited fishing, boating, golf courses; Gyms","Museums, zoos; Theaters",Restaurant dining,,,True,Retail stores,"Pet grooming; Hair salons, barber shops, nail salons, spas, waxing centers, tattoo parlors",Manufacturing; Offices,,12671821
IN,Indiana,pausing,Reopened May 4.,,,"Gov. Eric Holcomb, a Republican, eased restrictions and allowed some reopenings beginning in early May. In July, citing an increase in cases, Mr. Holcomb paused progress toward the final stage of reopening. He later required face masks in most public settings beginning July 27.",https://www.wdrb.com/in-depth/indiana-hits-pause-on-reopening-amid-rise-in-covid-19-hospitalizations-cases/article_228d294a-bbd0-11ea-8d9f-1b096ff15e0f.html,"Gyms; Pools, tennis and basketball courts; Campgrounds; Amusement parks, water parks","Libraries; Museums, zoos and aquariums; Venues; Movie theaters; Bowling alleys; Conventions, fairs, parades and similar events in most counties",Restaurant dining; Bars and nightclubs,,,True,Retail stores,"Spas, salons, barbershops, tattoo parlors","Manufacturing, offices",,6732219
KS,Kansas,reopened,Reopened May 4.,,,"After reopening began May 4, Gov. Laura Kelly, a Democrat, faced backlash from Republicans in the state legislature who wanted the process to move more quickly. She vetoed a measure seeking to curb her emergency powers, and allowed reopenings at the discretion of individual counties. Ms. Kelly ordered Kansans to wear masks in public beginning July 3.",https://www.kcur.org/news/2020-05-26/kansas-counties-in-charge-of-covid-19-restrictions-after-gov-kelly-vetoes-emergency-powers-bill,"Gyms; Community centers, sports facilities; Pools","Theaters, museums and bowling alleys; Casinos; Nightclubs",Restaurant dining; Bars,,,True,Retail stores,"Salons, barbershops, tattoo parlors",Offices,,2913314
KY,Kentucky,reversing,Reopened May 20.,,,"Gov. Andy Beshear, a Democrat, reopened businesses under new guidelines beginning in early May, then ordered residents to wear masks in public soon after the state had reached the end of its initial reopening timeline. As case numbers continued to climb, Mr. Beshear ordered bars to close again starting July 28 and restaurants to reduce indoor dining capacity to 25 percent. ",https://www.courier-journal.com/story/news/2020/07/27/kentucky-gov-andy-beshear-order-bar-closures-covid-cases-spike/5517328002/,Gyms; Aquatic centers; Campgrounds; Public pools,"Movie theaters; Bowling alleys; Museums, aquariums, libraries, outdoor attractions; Venues and events spaces",Restaurant dining; Distilleries,,Bars,True,Retail stores,"Pet grooming and boarding; Salons, barbershops, tattoo parlors, etc.","Manufacturing, construction, offices",,4467673
LA,Louisiana,reversing,Reopened May 15.,,,"Gov. John Bel Edwards, a Democrat, allowed the state’s stay-at-home order to lift and an array of businesses to reopen starting May 15. In June, citing an increase in cases, Mr. Edwards said the state would remain in Phase 2 for several more weeks. As cases continued to climb, Mr. Edwards ordered bars to close again and required the use of masks in public.",https://www.theadvocate.com/baton_rouge/news/coronavirus/article_1c2601f0-b4a8-11ea-a611-67b72e7a3c5a.html,"Gyms; State parks; Pools; Bowling alleys, skating rinks","Movie theaters; Certain museums, zoos and aquariums; Casinos; Event centers",Restaurant dining,,Bars,True,Malls,"Salons and barbershops; Spas, tattoo parlors",,"Amusement parks, water parks and theme parks; Concert and music halls",4648794
MA,Massachusetts,reopening,Reopened May 18.,,,"Gov. Charlie Baker, a Republican, announced a phased reopening beginning in May. The state is now in the third phase. Mr. Baker has indicated that the fourth and final phase, which would allow bars to reopen, will not begin until a treatment or vaccine is available. ",https://www.nbcboston.com/news/coronavirus/for-phase-4-businesses-indefinite-wait-to-reopen-is-exceptionally-difficult/2159533/,"Golf courses; Beaches, parks, fishing, hunting and boating; Gyms","Bowling alleys; Museums, aquariums; Theaters and performance venues; Movie theaters; Casinos",Restaurant dining,"Ballrooms, stadiums and convention halls",Bars,True,Retail stores,"Hair salons, barbershops; Pet grooming; Nail salons, massage parlors, tanning salons","Construction, manufacturing; Offices; Hotels, lodging",,6892503
MD,Maryland,reopening,Reopened May 15.,,,"Gov. Larry Hogan, a Republican who has called for an aggressive response to the virus, allowed some businesses to open with social distancing requirements starting May 15, but encouraged the adoption of more restrictive local guidelines as needed.",https://www.baltimoresun.com/coronavirus/bs-md-hogan-wednesday-20200610-werxiv7dancrhntfrsyrht2ae4-story.html,"Golf courses, outdoor shooting ranges, marinas, campgrounds; Beaches; Outdoor pools and day camps; Gyms",Casinos,"Outdoor service at breweries, wineries, and distilleries; Restaurants; Bars",Theaters,,True,Retail stores; Malls,"Hair salons, barbershops; Nail salons, massage parlors, tanning salons, tattoo parlors","Manufacturing; Construction, offices",,6045680
ME,Maine,reopening,Reopened May 1.,,,"Gov. Janet Mills, a Democrat, allowed some businesses to begin reopening statewide in May and allowed additional, accelerated reopenings in counties with few coronavirus cases. More businesses were allowed to reopen statewide in June, but further reopenings, including of bars, have been delayed.",https://bangordailynews.com/2020/06/22/business/janet-mills-postpones-reopening-indoor-bar-service-citing-infections-in-other-states/,"State parks, boating, golf courses; Remote campgrounds, hunting and fishing; Private campgrounds, RV parks; Gyms","Amusement parks, water parks; Bowling alleys and arcades; Movie theaters; Performing arts venues; Casinos",Restaurants; Bars open for outdoor service,,Bars for indoor service,True,Retail stores,"Hair salons, barbershops, pet groomers; Nail salons and tattoo parlors; Spas and massage parlors",,,1344212
MI,Michigan,reversing,Reopened June 1.,,,"Gov. Gretchen Whitmer, a Democrat, took a regional approach to reopening before lifting Michigan's stay-at-home order on June 1. Ms. Whitmer has since paused further reopenings, and on July 1, she ordered bars in most of the state to close again for indoor service. She later mandated the use of masks in most public settings.",https://www.freep.com/story/news/local/michigan/detroit/2020/07/01/gov-whitmer-closes-michigan-indoor-bar-service-except-up-north/5354417002/,"Golf courses, marinas; Pools; Gyms in some regions","Arcades, bowling alleys, theaters, night clubs and convention centers in some regions",Bars for indoor service in certain counties; Restaurant dining; Bars for outdoor service,,Bars for indoor service in certain counties,True,Retail stores,"Pet groomers; Hair salons, barbershops, nail salons, tattoo parlors","Construction, real estate; Manufacturing, including auto companies; Offices",Gyms,9986857
MN,Minnesota,reopened,Reopened May 18.,,,"Gov. Tim Walz, a Democrat, first allowed employees in certain agriculture, industrial and office settings to return to work in late April. More businesses were allowed to open after his stay-at-home order expired in May. Mr. Walz later ordered the use of face masks in most public settings beginning July 25.",https://kstp.com/news/phase-three-of-the-governors-plan-for-reopening-minnesota-goes-into-effect-wednesday/5755296/,Campgrounds; Gyms,"Theaters and concert halls; Bowling alleys, arcades and museums",Restaurants and bars,,,True,Retail stores; Malls,"Salons, barbershops, tattoo parlors",Manufacturing; Offices,,5639632
MO,Missouri,reopened,Reopened May 4.,,,"Gov. Mike Parson, a Republican, reopened all businesses in early May, with social distancing requirements, and lifted all restrictions on June 16. Since then, Missouri has seen several record-setting single-day increases in coronavirus cases.",https://dailyjournalonline.com/news/state-and-regional/parson-announces-missouri-will-fully-reopen-enter-phase-2-of-recovery-plan-tuesday/article_34795419-2498-5e4a-a5a9-0e075c03a043.html,Gyms; Campgrounds,"Movie theaters, music venues, etc.; Casinos",Restaurant dining,,,True,Retail stores,"Salons, barbershops, tattoo parlors, etc.",,,6137428
MS,Mississippi,pausing,Reopened April 27.,,,"Gov. Tate Reeves, a Republican, let the state’s stay-at-home order expire April 27 and reopened retail stores, with some limits. All businesses were allowed to open June 1. In July, Mr. Reeves announced that the state would pause a full reopening. As numbers continued to climb, Mr. Reeves gradually imposed mask orders in dozens of counties, in addition to tightening restrictions on social gatherings and bars statewide.",https://www.usnews.com/news/best-states/mississippi/articles/2020-07-01/mississippi-pausing-reopening-process-after-covid-surge,State parks; Gyms,"Casinos; Movie theaters; Libraries, museums","Restaurant dining, bars",,,True,Retail stores,Salons and barbershops; Tattoo parlors,,,2976149
MT,Montana,reopened,Reopened April 26.,,,"Gov. Steve Bullock, a Democrat, allowed reopening in phases, beginning in late April. All businesses could reopen June 1, provided they followed certain guidelines. In July, citing rising case counts, Mr. Bullock ordered Montanans in certain counties to wear masks in many public settings.",https://www.ktvh.com/news/montana-news/gov-bullock-phase-2-of-reopening-for-montana-begins-june-1,Gyms,"Museums, movie theaters; Concert venues; Bowling alleys; Casinos","Restaurant dining, bars, breweries and distilleries",,,True,Retail stores,"Salons, barbershops, massage parlors",,,1068778
NC,North Carolina,pausing,Reopened May 8.,,,"Gov. Roy Cooper, a Democrat, allowed a variety of businesses to reopen in May. In late June, with cases counts trending upward, Mr. Cooper paused North Carolina’s reopening plan and required residents to wear face coverings in public. ",https://www.cbs17.com/community/health/coronavirus/court-allows-nc-bowling-alleys-to-reopen-gov-cooper-requests-stay/,Pools,,Restaurant dining,Movie theaters; Bowling alleys,Bars,True,Retail stores,"Salons, barbershops, tattoo parlors",,Gyms,10488084
ND,North Dakota,reopened,Reopened May 1.,,,"Gov. Doug Burgum, a Republican, never issued a stay-at-home order, and allowed a variety of businesses to reopen starting May 1.",https://news.prairiepublic.org/post/burgum-north-dakota-moves-next-phase-reopening-low-risk-level,Gyms; Sports venues,Movie theaters; Music and entertainment venues,"Restaurant dining, bars",,,True,Retail,"Salons, tattoo parlors, massage therapy, etc.",,,762062
NE,Nebraska,reopened,Reopened May 4.,,,"Gov. Pete Ricketts, a Republican, never issued a stay-at-home order, but he put in place several restrictions on businesses. Mr. Ricketts announced a plan to reopen certain businesses on a regional basis starting in early May. All counties have been in Phase 3, which allows for restaurants and bars to return to full capacity, since early July.",https://www.omaha.com/news/state_and_regional/ricketts-seeks-balance-as-he-reopens-nebraska-bars-and-loosens-limits-on-public-gatherings/article_defc4172-36c7-5f02-9cce-39214dc54437.html,Pools; Gyms,"Zoos, movie theaters, libraries and venues",Restaurant dining; Bars,,,True,Retail,"Salons, barbershops, tattoo parlors, etc.",,,1934408
NH,New Hampshire,reopened,Reopened May 11.,,,"Gov. Chris Sununu, a Republican, gradually reopened sectors starting in mid-May. On June 15, he allowed his stay-at-home order to expire and reopened businesses on a rolling basis. The final round of businesses reopened, with capacity limits and social distancing guidance, on June 29.",https://www.unionleader.com/news/health/coronavirus/all-nh-businesses-now-have-date-to-reopen/article_558bfac2-5c67-5163-9fa3-7d7fcb426d9f.html,Golf courses; Outdoor attractions; Beaches; Gyms; Pools,"Libraries, museums, art galleries; Bowling alleys and entertainment centers; Movie theaters; Amusement parks; Live performances",Restaurant dining,,,True,Retail stores,"Barbershops, hair salons, etc.; Nail salons; Tanning salons; Tattoo shops; Acupuncturists and massage therapists",,,1359711
NJ,New Jersey,pausing,Reopened June 9.,,,"Gov. Phil Murphy, a Democrat, was one of the last governors to lift a stay-at-home order, on June 9. New Jersey cautiously reopened businesses over the course of May and June, and rolling reopenings were set to continue into July. After indefinitely delaying plans to reopen indoor dining early in the month, Mr. Murphy announced in mid-July that the state would pause in its current phase of reopening.",https://www.nj.com/business/2020/06/nj-reopening-dates-whats-open-whats-closed-casinos-daycares-gyms-schools-libraries-stores-mvc-and-more.html,Golf courses; Beaches; Campgrounds; Gyms for personal training; Pools,"Libraries for curbside pickup; Casinos; Playgrounds, water parks, amusement parks; Museums, libraries, aquariums; Bowling alleys, batting cages, shooting ranges",Outdoor dining at restaurants,Movie theaters,"Breweries, wineries and distilleries",True,Retail stores; Malls,"Hair salons, barbershops; Nail salons, tattoo parlors, spas, massage therapy, tanning salons",Construction,,8882190
NM,New Mexico,reversing,Reopened May 16.,,,"Gov. Michelle Lujan Grisham, a Democrat, allowed some sectors to reopen May 16. As cases rose, Ms. Grisham announced she would delay the next phase of reopening indefinitely, and later ordered restaurants to restrict indoor dining.",https://www.lcsun-news.com/story/news/2020/06/25/update-coronavirus-new-mexico-governor-michelle-lujan-grisham-conference/3258020001/,"State parks; Golf courses, boating; Gyms, pools",,,Casinos; Theaters,Bars; Restaurant dining; Indoor service at breweries,True,Retail stores; Malls,"Pet grooming and boarding, veterinary services; Hair salons, barbershops, tattoo parlors, massage parlors, nail salons",Offices,,2096829
NV,Nevada,reversing,Reopened May 9.,,,"Gov. Steve Sisolak, a Democrat, kept pace with other states and reopened businesses throughout May. Casinos and gaming were allowed to resume operations on June 4. In response to a recent spike in cases, Mr. Sisolak tabled plans for Phase 3 and is now requiring Nevadans to wear face masks.",https://abcnews.go.com/US/nevada-ready-enter-phase-reopening-governor/story?id=71274969,"Golf courses, pickleball, tennis courts; State parks; Gyms; Pools and water parks","Museums, art galleries, zoos and aquariums; Movie theaters, bowling alleys; Gaming",Restaurants; Bars in some counties,,,True,Retail stores; Malls,"Barbershops, hair salons and nail salons; Massage therapy; Tattoo and piercing shops",,,3080156
